team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width,could_be_top_25,interval_text
Buffalo,144,-0.1725133545024683,-0.0335855975020353,0.0472841187973005,128,28.0,136.0,0.0290953776432871,109.0,False,28th to 136th
Eastern Michigan,181,-0.1457184678229754,-0.0339595739138858,0.0461440699607594,129,30.0,136.0,0.0481897902532772,107.0,False,30th to 136th
Sacramento State,134,-0.1866078174285239,-0.0342699990891952,0.0476070309218915,130,28.0,136.0,0.0262434209459184,109.0,False,28th to 136th
Oklahoma State,166,-0.1580737161557627,-0.0344513784127519,0.0465962312752664,131,31.0,136.0,0.0690558942633214,106.0,False,31th to 136th
LSU,119,-0.2191624797842896,-0.0364933466184345,0.0481040485170183,132,29.0,136.0,0.1005335085252365,108.0,False,29th to 136th
Hawai'i,221,-0.1355856291368347,-0.0366914309985067,0.0449998145700879,133,33.0,136.0,0.0206019783161789,104.0,False,33th to 136th
Texas Tech,130,-0.2055995679697089,-0.0368325990630076,0.0477380608972781,134,31.0,136.0,0.0322407563178217,106.0,False,31th to 136th
Arkansas,128,-0.243795341860864,-0.0431221896445714,0.0478039829084906,135,34.0,137.0,0.0346026727298341,104.0,False,34th to 137th
Central Michigan,85,-0.346204511522813,-0.0432336019149635,0.0492908436706936,136,34.0,137.0,0.0664189578932438,104.0,False,34th to 137th
Washington,132,-0.2946122524747686,-0.0534436650725193,0.047672410856732,137,41.0,138.0,0.041407333559262,98.0,False,41th to 138th
Clemson,99,-0.4969280543205336,-0.0708200808708329,0.0487916180222925,138,60.94999999999996,138.0,0.0735965894893461,78.05000000000004,False,60th to 138th
