team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width
Iowa,111,-0.16536721795793463,-0.02597537881489082,0.048375571846073745,122,24.0,135.0,0.04471767851681171,112.0
Oregon,121,-0.16587239894648592,-0.02800569345648536,0.04803687906887658,123,23.0,136.0,0.04559192831983159,114.0
Vanderbilt,126,-0.16079755369165355,-0.028074843783981857,0.04787017877340785,124,28.0,135.0,0.036286064893998396,108.0
TCU,110,-0.1841573470469776,-0.028706895920368927,0.04840983653839387,125,26.0,136.0,0.04564514843231109,111.0
Auburn,134,-0.1593510816692436,-0.029264376481756768,0.04760703092189151,126,24.0,136.0,0.032491991584919964,113.0
Northern Illinois,87,-0.24481215274374493,-0.03119950969546452,0.049218586619311125,127,27.0,136.0,0.09033457783750404,110.0
Buffalo,144,-0.17251335450246835,-0.03358559750203532,0.04728411879730058,128,28.0,136.0,0.029095377643287165,109.0
Eastern Michigan,181,-0.14571846782297546,-0.033959573913885814,0.04614406996075944,129,30.0,136.0,0.04818979025327725,107.0
Sacramento State,134,-0.18660781742852395,-0.03426999908919526,0.04760703092189151,130,28.0,136.0,0.026243420945918444,109.0
Oklahoma State,166,-0.15807371615576274,-0.03445137841275191,0.046596231275266416,131,31.0,136.0,0.06905589426332141,106.0
LSU,119,-0.21916247978428963,-0.03649334661843459,0.048104048517018334,132,29.0,136.0,0.10053350852523656,108.0
Hawai'i,221,-0.13558562913683478,-0.03669143099850671,0.044999814570087976,133,33.0,136.0,0.02060197831617894,104.0
Texas Tech,130,-0.2055995679697089,-0.03683259906300769,0.047738060897278146,134,31.0,136.0,0.03224075631782173,106.0
Arkansas,128,-0.24379534186086405,-0.04312218964457148,0.047803982908490694,135,34.0,137.0,0.0346026727298341,104.0
Central Michigan,85,-0.346204511522813,-0.04323360191496358,0.04929084367069366,136,34.0,137.0,0.06641895789324381,104.0
Washington,132,-0.2946122524747686,-0.05344366507251939,0.047672410856732024,137,41.0,138.0,0.04140733355926207,98.0
Clemson,99,-0.4969280543205336,-0.07082008087083297,0.04879161802229253,138,60.94999999999996,138.0,0.07359658948934611,78.05000000000004
