team_offense,team_defense,largest_abs_edge
Arizona State,Bowling Green,0.022245264365084304
Arizona State,Buffalo,0.02283521529123183
Arizona State,California,0.019772178650962573
Arizona State,Central Michigan,0.01769330319854611
Arizona State,Charlotte,0.036824849681076396
Arizona State,Cincinnati,0.02018016515318423
Arizona State,Clemson,0.02416718912737515
Arizona State,Coastal Carolina,0.019891446054314314
Arizona State,Colorado,0.022084591045853582
Arizona State,Colorado State,0.027653424291402585
Arizona State,Delaware,0.018795078785544258
Arizona State,Duke,0.017119596671888657
Arizona State,East Carolina,0.026612274891257986
Arizona State,Eastern Michigan,0.019253625028681824
Arizona State,Florida,0.023387547262139895
Arizona State,Florida Atlantic,0.019944123980991765
Arizona State,Florida International,0.018453985243770163
Arizona State,Florida State,0.027215347620619425
Arizona State,Fresno State,0.02706858866070367
Arizona State,Georgia,0.02155956693165356
Arizona State,Georgia Southern,0.028599402309086575
Arizona State,Georgia State,0.016732319656692054
Arizona State,Georgia Tech,0.019724949560262585
